sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C28 H13 O5     ,429.075424,-1000.0,863202,429.07575,0.326,0.759,28,13,0,0,0,5,0
C19 H22 N2 Na O6 S,429.109235,-1000.0,901701,429.109078,-0.157,-0.366,19,22,0,2,1,6,1
C16 H26 N2 Na O8 S,429.130115,-1000.0,976457,429.130208,0.093,0.216,16,26,0,2,1,8,1
C20 H29 O10    ,429.175283,500.85,888816,429.175524,0.241,0.561,20,29,0,0,0,10,0
C16 H33 N2 O11 ,429.208067,-1000.0,890869,429.207886,-0.181,-0.422,16,33,0,2,0,11,0
C19 H33 N4 O7  ,429.234769,406.66,870392,429.234376,-0.393,-0.915,19,33,0,4,0,7,0
C22 H34 N2 Na O5,429.235929,-1000.0,895992,429.235993,0.064,0.148,22,34,0,2,1,5,0
C26 H34 N2 Na O2,429.250911,-1000.0,1474140,429.251249,0.338,0.787,26,34,0,2,1,2,0
C24 H37 N4 O3  ,429.286092,464.54,1012735,429.286017,-0.074,-0.173,24,37,0,4,0,3,0
C27 H38 N2 Na O,429.287343,54.06,6446080,429.287635,0.291,0.679,27,38,0,2,1,1,0
C24 H45 O6     ,429.320808,535.62,1029124,429.321066,0.257,0.599,24,45,0,0,0,6,0
C26 H45 N4 O   ,429.359127,518.8,888429,429.358789,-0.338,-0.788,26,45,0,4,0,1,0
C23 H49 N4 O3  ,429.380278,316.09,2121328,429.379918,-0.361,-0.84,23,49,0,4,0,3,0
C26 H50 N2 Na O,429.381297,61.98,8436749,429.381535,0.238,0.554,26,50,0,2,1,1,0
C15 H5 K N O12 ,429.944149,-1000.0,864347,429.944333,0.184,0.427,15,5,1,1,0,12,0
C14 H28 N3 O12 ,430.166797,-1000.0,946918,430.16675,-0.048,-0.11,14,28,0,3,0,12,0
C19 H37 N Na O6 S,430.223587,301.91,860290,430.22338,-0.208,-0.483,19,37,0,1,1,6,1
C28 H32 N O3   ,430.238049,-1000.0,1119983,430.23767,-0.379,-0.88,28,32,0,1,0,3,0
C24 H41 K N O S,430.25444,375.65,1077382,430.254044,-0.396,-0.92,24,41,1,1,0,1,1
C28 H36 N3 O   ,430.285156,572.0,925439,430.285289,0.133,0.31,28,36,0,3,0,1,0
C25 H40 N3 O3  ,430.306213,541.99,1928962,430.306419,0.205,0.477,25,40,0,3,0,3,0
C23 H44 N O6   ,430.316604,335.83,1044228,430.316315,-0.289,-0.673,23,44,0,1,0,6,0
C22 H44 N3 O5  ,430.327151,442.51,3137286,430.327548,0.397,0.922,22,44,0,3,0,5,0
C22 H11 N2 O6 S,431.03294,251.46,1195251,431.033234,0.294,0.682,22,11,0,2,0,6,1
C16 H15 O14    ,431.045288,-1000.0,1037140,431.045632,0.344,0.798,16,15,0,0,0,14,0
C26 H16 Na O5  ,431.088986,-1000.0,1134426,431.088994,0.009,0.02,26,16,0,0,1,5,0
C28 H23 N4 O   ,431.186315,-1000.0,896776,431.186638,0.323,0.749,28,23,0,4,0,1,0
C23 H36 K O5   ,431.219804,-1000.0,918419,431.219432,-0.372,-0.863,23,36,1,0,0,5,0
C25 H32 N2 Na O3,431.230429,-1000.0,1752981,431.230514,0.084,0.195,25,32,0,2,1,3,0
C26 H36 N2 Na O2,431.266789,463.12,2495763,431.266899,0.11,0.256,26,36,0,2,1,2,0
C26 H39 O5     ,431.279179,508.06,1314674,431.279201,0.021,0.05,26,39,0,0,0,5,0
C23 H43 O7     ,431.300203,506.45,909216,431.30033,0.127,0.295,23,43,0,0,0,7,0
C27 H40 N2 Na O,431.30313,39.46,7470361,431.303285,0.154,0.358,27,40,0,2,1,1,0
C24 H44 N2 Na O3,431.324409,425.65,967963,431.324414,0.005,0.01,24,44,0,2,1,3,0
C25 H48 K N2 O ,431.339611,160.91,3501342,431.339822,0.211,0.489,25,48,1,2,0,1,0
C25 H51 O3 S   ,431.355151,492.06,891816,431.355343,0.192,0.444,25,51,0,0,0,3,1
C25 H48 N2 Na O2,431.360835,596.87,1013673,431.360799,-0.036,-0.082,25,48,0,2,1,2,0
C20 H11 K N O8 ,432.011979,-1000.0,861134,432.011624,-0.354,-0.82,20,11,1,1,0,8,0
C22 H10 N O9   ,432.034874,-1000.0,861567,432.035007,0.134,0.309,22,10,0,1,0,9,0
C24 H18 N O7   ,432.107393,-1000.0,989146,432.107778,0.386,0.892,24,18,0,1,0,7,0
C26 H39 N3 Na O,432.298757,581.61,938558,432.298534,-0.224,-0.517,26,39,0,3,1,1,0
C20 H10 K O9   ,432.995368,356.45,1022027,432.99564,0.272,0.628,20,10,1,0,0,9,0
C17 H14 Na O12 ,433.038165,-1000.0,848976,433.037747,-0.418,-0.965,17,14,0,0,1,12,0
C14 H25 O13 S  ,433.101308,-1000.0,1191444,433.101038,-0.269,-0.622,14,25,0,0,0,13,1
C25 H30 Na O3 S,433.180819,-1000.0,861386,433.180787,-0.032,-0.074,25,30,0,0,1,3,1
C23 H38 K O3 S ,433.217726,259.08,985191,433.217324,-0.402,-0.928,23,38,1,0,0,3,1
C25 H34 N2 Na O3,433.246398,-1000.0,1054249,433.246164,-0.234,-0.54,25,34,0,2,1,3,0
C26 H38 K N2 O ,433.261788,378.21,1364183,433.261572,-0.216,-0.498,26,38,1,2,0,1,0
C24 H37 N2 O5  ,433.26969,-1000.0,2480238,433.269699,0.008,0.02,24,37,0,2,0,5,0
C26 H38 N2 Na O2,433.282448,-1000.0,1295471,433.282549,0.101,0.233,26,38,0,2,1,2,0
C25 H41 N2 O2 S,433.287963,430.75,1278171,433.288326,0.363,0.837,25,41,0,2,0,2,1
C27 H42 N2 Na O,433.319055,138.46,5496371,433.318935,-0.12,-0.277,27,42,0,2,1,1,0
C25 H50 K N2 O ,433.35567,464.67,1982694,433.355472,-0.197,-0.455,25,50,1,2,0,1,0
C25 H53 O3 S   ,433.370889,48.19,9813562,433.370993,0.104,0.24,25,53,0,0,0,3,1
C30 H57 O      ,433.440235,489.62,934468,433.440393,0.158,0.365,30,57,0,0,0,1,0
C15 H9 K N O12 ,433.975851,-1000.0,841415,433.975633,-0.218,-0.502,15,9,1,1,0,12,0
C18 H21 N Na O8 S,434.088431,537.65,1009877,434.088009,-0.422,-0.973,18,21,0,1,1,8,1
C13 H28 N3 O13 ,434.161767,-1000.0,851167,434.161664,-0.103,-0.236,13,28,0,3,0,13,0
C24 H24 N3 O5  ,434.171344,-1000.0,870760,434.171047,-0.297,-0.684,24,24,0,3,0,5,0
C28 H40 N3 O   ,434.316711,-1000.0,853695,434.316589,-0.121,-0.279,28,40,0,3,0,1,0
C24 H52 N O3 S ,434.366184,490.58,1585543,434.366242,0.058,0.134,24,52,0,1,0,3,1
C22 H8 K N2 O6 ,435.001587,-1000.0,878922,435.001394,-0.193,-0.444,22,8,1,2,0,6,0
C14 H11 O16    ,435.003966,-1000.0,931820,435.004161,0.194,0.447,14,11,0,0,0,16,0
C25 H11 N2 O6  ,435.061524,-1000.0,833873,435.061163,-0.361,-0.83,25,11,0,2,0,6,0
C22 H20 Na O6 S,435.087103,389.46,1010004,435.08728,0.177,0.407,22,20,0,0,1,6,1
C28 H11 N4 O2  ,435.08766,474.33,961365,435.087652,-0.008,-0.019,28,11,0,4,0,2,0
C22 H40 K N2 O4,435.262326,385.38,1802774,435.261966,-0.361,-0.829,22,40,1,2,0,4,0
C26 H40 K N2 O ,435.277436,453.24,970264,435.277222,-0.214,-0.491,26,40,1,2,0,1,0
C26 H40 N2 Na O2,435.29822,304.0,1538415,435.298199,-0.021,-0.049,26,40,0,2,1,2,0
C27 H44 N2 Na O,435.334441,-1000.0,1077620,435.334585,0.144,0.33,27,44,0,2,1,1,0
C24 H48 K N2 O2,435.335073,125.58,3714895,435.334737,-0.336,-0.772,24,48,1,2,0,2,0
C24 H51 O4 S   ,435.350524,528.24,1077796,435.350258,-0.266,-0.611,24,51,0,0,0,4,1
C18 H14 N O12  ,436.050951,-1000.0,952979,436.051051,0.1,0.23,18,14,0,1,0,12,0
C27 H22 N3 O S ,436.147867,340.19,841180,436.14781,-0.057,-0.132,27,22,0,3,0,1,1
C23 H38 N3 O5  ,436.280357,-1000.0,1839597,436.280598,0.241,0.552,23,38,0,3,0,5,0
C20 H42 N3 O7  ,436.301625,593.99,925656,436.301727,0.102,0.233,20,42,0,3,0,7,0
C26 H50 N3 O2  ,436.390159,424.87,868324,436.389754,-0.404,-0.926,26,50,0,3,0,2,0
C28 H9 N2 O4   ,437.055616,-1000.0,875587,437.055683,0.067,0.154,28,9,0,2,0,4,0
C25 H13 N2 O4 S,437.059492,-1000.0,895044,437.059055,-0.438,-1.001,25,13,0,2,0,4,1
C28 H34 N2 Na O,437.256491,331.05,1229418,437.256334,-0.157,-0.359,28,34,0,2,1,1,0
C21 H41 O7 S   ,437.257195,263.03,3280992,437.256751,-0.444,-1.014,21,41,0,0,0,7,1
C22 H45 O6 S   ,437.29345,475.64,928602,437.293137,-0.314,-0.717,22,45,0,0,0,6,1
C22 H42 N2 Na O5,437.298731,22.03,6255215,437.298593,-0.138,-0.315,22,42,0,2,1,5,0
C24 H41 N2 O5  ,437.301388,553.03,1009766,437.300999,-0.389,-0.889,24,41,0,2,0,5,0
C23 H49 O5 S   ,437.329987,415.64,926560,437.329522,-0.465,-1.064,23,49,0,0,0,5,1
C25 H54 N2 Na O2,437.40767,567.76,940669,437.40775,0.08,0.183,25,54,0,2,1,2,0
C26 H13 N3 Na O S,438.067003,-1000.0,907222,438.067154,0.151,0.344,26,13,0,3,1,1,1
C22 H16 N O9   ,438.081539,561.89,894936,438.081958,0.419,0.956,22,16,0,1,0,9,0
C18 H20 N3 O8 S,438.096237,153.15,2949335,438.096562,0.325,0.743,18,20,0,3,0,8,1
C25 H41 N3 Na O2,438.309552,521.74,946422,438.309098,-0.454,-1.035,25,41,0,3,1,2,0
C23 H49 N3 Na O S,438.348634,405.02,1104899,438.348855,0.221,0.505,23,49,0,3,1,1,1
C27 H56 N3 O   ,438.441606,-1000.0,1024770,438.44179,0.184,0.42,27,56,0,3,0,1,0
C13 H4 K O15   ,438.918368,-1000.0,920670,438.918177,-0.19,-0.434,13,4,1,0,0,15,0
C22 H8 Na O7 S ,438.987979,-1000.0,918633,438.988294,0.315,0.718,22,8,0,0,1,7,1
C28 H11 N2 O4  ,439.071422,-1000.0,895827,439.071333,-0.088,-0.201,28,11,0,2,0,4,0
C21 H36 K O7   ,439.209601,382.92,839524,439.209261,-0.339,-0.772,21,36,1,0,0,7,0
C22 H39 N4 O3 S,439.273292,400.69,1418391,439.273739,0.447,1.018,22,39,0,4,0,3,1
C26 H40 Na O4  ,439.281517,504.68,969582,439.28188,0.363,0.827,26,40,0,0,1,4,0
C23 H43 N4 O2 S,439.310357,443.45,921989,439.310124,-0.233,-0.529,23,43,0,4,0,2,1
C26 H44 N2 Na O2,439.329651,-1000.0,905076,439.329499,-0.152,-0.345,26,44,0,2,1,2,0
C24 H47 N4 O S ,439.346096,309.11,992419,439.34651,0.413,0.941,24,47,0,4,0,1,1
C12 H23 N3 Na O11 S,440.094514,-1000.0,1352181,440.09455,0.037,0.084,12,23,0,3,1,11,1
C26 H18 N O4 S ,440.094722,236.81,1475867,440.095106,0.384,0.873,26,18,0,1,0,4,1
C23 H26 N3 O4 S,440.16393,341.1,831455,440.163854,-0.076,-0.173,23,26,0,3,0,4,1
C16 H35 K N O8 S,440.171832,292.26,931111,440.171496,-0.336,-0.763,16,35,1,1,0,8,1
C24 H39 N3 Na O S,440.270306,-1000.0,833517,440.270605,0.299,0.68,24,39,0,3,1,1,1
C28 H42 N O S  ,440.297717,481.42,961852,440.298163,0.445,1.011,28,42,0,1,0,1,1
C22 H47 K N3 O S,440.307519,424.75,1182228,440.307142,-0.377,-0.856,22,47,1,3,0,1,1
C28 H51 N Na O ,440.385855,578.8,984394,440.386286,0.431,0.978,28,51,0,1,1,1,0
C26 H54 N3 O2  ,440.421391,482.09,1159168,440.421054,-0.337,-0.765,26,54,0,3,0,2,0
C18 H17 O13    ,441.065887,-1000.0,922708,441.066367,0.48,1.089,18,17,0,0,0,13,0
C33 H13 O2     ,441.090736,-1000.0,963003,441.091006,0.27,0.612,33,13,0,0,0,2,0
C19 H25 N2 O8 S,441.13256,334.2,894402,441.132613,0.053,0.121,19,25,0,2,0,8,1
C16 H29 N2 O12 ,441.171566,-1000.0,974280,441.171501,-0.065,-0.148,16,29,0,2,0,12,0
C17 H33 N2 O9 S,441.190229,-1000.0,1254500,441.190128,-0.101,-0.229,17,33,0,2,0,9,1
C25 H29 O7     ,441.190837,-1000.0,920676,441.19078,-0.057,-0.13,25,29,0,0,0,7,0
C23 H29 N4 O3 S,441.195168,403.12,863332,441.195488,0.32,0.726,23,29,0,4,0,3,1
C21 H37 N4 O4 S,441.252708,97.75,6735317,441.253003,0.296,0.67,21,37,0,4,0,4,1
C26 H42 K O S  ,441.258522,445.19,1137308,441.258795,0.273,0.62,26,42,1,0,0,1,1
C24 H38 N2 Na O4,441.272472,566.87,964056,441.272378,-0.094,-0.213,24,38,0,2,1,4,0
C28 H38 N2 Na O,441.287947,621.16,1082843,441.287635,-0.313,-0.709,28,38,0,2,1,1,0
C22 H41 N4 O3 S,441.289115,415.25,4801185,441.289389,0.273,0.619,22,41,0,4,0,3,1
C24 H49 N4 O S ,441.361712,173.97,2153959,441.36216,0.448,1.015,24,49,0,4,0,1,1
C16 H5 N Na O11 S,441.947512,-1000.0,875077,441.947552,0.04,0.09,16,5,0,1,1,11,1
C28 H21 N Na O S,442.123834,-1000.0,900377,442.123606,-0.227,-0.514,28,21,0,1,1,1,1
C19 H33 N Na O7 S,442.187454,358.41,1004322,442.186994,-0.459,-1.039,19,33,0,1,1,7,1
C28 H25 N3 Na O,442.188923,-1000.0,985708,442.188983,0.06,0.136,28,25,0,3,1,1,0
C32 H28 N O    ,442.216787,-1000.0,857321,442.216541,-0.246,-0.556,32,28,0,1,0,1,0
C24 H37 K N O4 ,442.235875,-1000.0,903403,442.235417,-0.458,-1.036,24,37,1,1,0,4,0
C24 H37 N Na O5,442.256248,495.71,1149740,442.256394,0.146,0.33,24,37,0,1,1,5,0
C27 H40 N O2 S ,442.277466,508.05,1001082,442.277427,-0.039,-0.087,27,40,0,1,0,2,1
C25 H41 N Na O4,442.292418,629.7,1914493,442.29278,0.362,0.818,25,41,0,1,1,4,0
C26 H45 N Na O3,442.328969,566.27,1341058,442.329165,0.196,0.442,26,45,0,1,1,3,0
C28 H53 N Na O ,442.401801,529.12,1221441,442.401936,0.135,0.305,28,53,0,1,1,1,0
C13 H12 N2 Na O12 S,443.000366,-1000.0,881998,443.000316,-0.05,-0.114,13,12,0,2,1,12,1
C17 H7 N4 O11  ,443.010466,-1000.0,925424,443.010583,0.117,0.265,17,7,0,4,0,11,0
C24 H24 N2 Na O3 S,443.139588,-1000.0,901893,443.139985,0.397,0.895,24,24,0,2,1,3,1
C31 H23 O S    ,443.146582,-1000.0,906593,443.146413,-0.169,-0.382,31,23,0,0,0,1,1
C19 H32 K O9   ,443.168169,419.85,885092,443.167791,-0.378,-0.853,19,32,1,0,0,9,0
C25 H31 O7     ,443.206461,26.19,4048233,443.20643,-0.031,-0.071,25,31,0,0,0,7,0
C26 H32 N2 Na O3,443.230072,-1000.0,1090324,443.230514,0.442,0.997,26,32,0,2,1,3,0
C21 H39 N4 O4 S,443.268542,256.47,2348826,443.268653,0.111,0.251,21,39,0,4,0,4,1
C25 H39 N4 O S ,443.283949,438.74,1247004,443.283909,-0.039,-0.088,25,39,0,4,0,1,1
C28 H43 O2 S   ,443.297397,57.95,26788802,443.297828,0.431,0.973,28,43,0,0,0,2,1
C22 H43 N4 O3 S,443.304933,267.58,9717536,443.305039,0.106,0.238,22,43,0,4,0,3,1
C22 H48 K N2 O2 S,443.307174,422.58,890230,443.306808,-0.366,-0.825,22,48,1,2,0,2,1
C23 H47 N4 O2 S,443.341393,141.45,4671270,443.341424,0.031,0.071,23,47,0,4,0,2,1
C24 H51 N4 O S ,443.377767,443.14,1292076,443.37781,0.043,0.097,24,51,0,4,0,1,1
C26 H55 N2 O3  ,443.421192,-1000.0,907059,443.42072,-0.472,-1.064,26,55,0,2,0,3,0
C29 H56 Na O   ,443.422079,295.76,1860565,443.422337,0.258,0.582,29,56,0,0,1,1,0
C28 H11 K N3 O ,444.053647,-1000.0,930864,444.05337,-0.277,-0.625,28,11,1,3,0,1,0
C24 H39 N Na O5,444.272027,476.35,1047632,444.272044,0.017,0.037,24,39,0,1,1,5,0
C25 H43 N Na O2 S,444.290951,448.58,925011,444.290672,-0.279,-0.628,25,43,0,1,1,2,1
C29 H38 N3 O   ,444.301031,-1000.0,1115640,444.300939,-0.092,-0.207,29,38,0,3,0,1,0
C25 H43 N Na O4,444.308585,561.25,2126934,444.30843,-0.156,-0.35,25,43,0,1,1,4,0
C26 H47 N Na O3,444.344664,490.34,984008,444.344815,0.151,0.339,26,47,0,1,1,3,0
C27 H51 N Na O2,444.38123,502.53,878688,444.381201,-0.03,-0.067,27,51,0,1,1,2,0
C12 H26 N2 Na O12 S,445.109626,-1000.0,924874,445.109866,0.24,0.539,12,26,0,2,1,12,1
C31 H18 Na O2  ,445.120334,-1000.0,887394,445.119901,-0.434,-0.975,31,18,0,0,1,2,0
C16 H33 N2 O10 S,445.184978,263.41,1757264,445.185043,0.065,0.146,16,33,0,2,0,10,1
C20 H37 N4 O5 S,445.24807,326.79,898270,445.247918,-0.152,-0.341,20,37,0,4,0,5,1
C28 H33 N2 O3  ,445.248082,-1000.0,1165402,445.248569,0.488,1.095,28,33,0,2,0,3,0
C29 H37 N2 O2  ,445.284525,42.49,4678884,445.284955,0.43,0.966,29,37,0,2,0,2,0
C25 H41 N4 O S ,445.299655,449.29,1316962,445.29956,-0.095,-0.214,25,41,0,4,0,1,1
C22 H45 N4 O3 S,445.320312,-1000.0,1453693,445.320689,0.377,0.846,22,45,0,4,0,3,1
C30 H41 N2 O   ,445.320978,85.78,10979429,445.32134,0.362,0.814,30,41,0,2,0,1,0
C26 H50 K N2 O ,445.355599,518.98,897131,445.355472,-0.127,-0.285,26,50,1,2,0,1,0
C23 H49 N4 O2 S,445.35729,467.59,1861739,445.357074,-0.215,-0.483,23,49,0,4,0,2,1
C28 H49 N2 O2  ,445.378402,428.64,5342449,445.378855,0.454,1.019,28,49,0,2,0,2,0
C27 H25 N3 Na O2,446.183879,348.32,1574637,446.183898,0.019,0.042,27,25,0,3,1,2,0
C20 H32 N O8 S ,446.184556,222.95,1031409,446.184315,-0.242,-0.542,20,32,0,1,0,8,1
C20 H36 N3 O6 S,446.231987,342.55,877300,446.231933,-0.054,-0.12,20,36,0,3,0,6,1
C24 H41 N Na O5,446.288044,569.04,1452290,446.287694,-0.35,-0.785,24,41,0,1,1,5,0
C28 H41 N Na O2,446.303016,602.42,909573,446.30295,-0.066,-0.148,28,41,0,1,1,2,0
C25 H45 N Na O4,446.32378,598.74,1003784,446.32408,0.299,0.67,25,45,0,1,1,4,0
C26 H49 N Na O3,446.360803,606.74,864526,446.360465,-0.338,-0.758,26,49,0,1,1,3,0
C27 H20 Na O3 S,447.102133,392.52,865126,447.102536,0.404,0.902,27,20,0,0,1,3,1
C23 H27 O9     ,447.164764,-1000.0,914832,447.164959,0.195,0.437,23,27,0,0,0,9,0
C28 H23 N4 O2  ,447.181341,325.14,1151856,447.181552,0.212,0.473,28,23,0,4,0,2,0
C26 H27 N2 O5  ,447.190964,-1000.0,913812,447.191448,0.484,1.082,26,27,0,2,0,5,0
C29 H32 N2 Na O,447.240667,-1000.0,993144,447.240684,0.018,0.04,29,32,0,2,1,1,0
C23 H35 N4 O5  ,447.260143,465.92,906106,447.260197,0.054,0.121,23,35,0,4,0,5,0
C28 H35 N2 O3  ,447.264003,206.38,2848261,447.264219,0.217,0.484,28,35,0,2,0,3,0
C21 H43 N4 O4 S,447.300052,379.6,1113984,447.299953,-0.099,-0.221,21,43,0,4,0,4,1
C29 H39 N2 O2  ,447.300569,73.98,5753254,447.300605,0.036,0.081,29,39,0,2,0,2,0
C26 H43 N2 O2 S,447.304,451.51,870823,447.303976,-0.024,-0.054,26,43,0,2,0,2,1
C30 H43 N2 O   ,447.336848,95.18,5555728,447.33699,0.142,0.318,30,43,0,2,0,1,0
C27 H47 N2 O3  ,447.357954,534.08,1406483,447.35812,0.166,0.37,27,47,0,2,0,3,0
C22 H10 N O8 S ,448.01247,-1000.0,882202,448.012164,-0.306,-0.682,22,10,0,1,0,8,1
C22 H7 N3 Na O7,448.017301,-1000.0,910874,448.01762,0.319,0.712,22,7,0,3,1,7,0
C23 H18 N3 O5 S,448.095774,-1000.0,926184,448.096168,0.394,0.879,23,18,0,3,0,5,1
C26 H39 K N3 O ,448.272484,506.1,1019545,448.272471,-0.013,-0.029,26,39,1,3,0,1,0
C23 H43 N3 Na O2 S,448.29676,401.9,1007619,448.29682,0.06,0.134,23,43,0,3,1,2,1
C24 H47 N3 Na O3,448.350933,302.16,864266,448.350963,0.03,0.067,24,47,0,3,1,3,0
C29 H47 N Na O ,448.355055,320.05,1402890,448.354986,-0.069,-0.155,29,47,0,1,1,1,0
C27 H55 K N O  ,448.391266,-1000.0,1215503,448.391523,0.258,0.574,27,55,1,1,0,1,0
C30 H58 N O    ,448.451244,410.64,1071127,448.451292,0.048,0.106,30,58,0,1,0,1,0
C28 H33 O3 S   ,449.214449,493.58,893661,449.214493,0.044,0.098,28,33,0,0,0,3,1
C27 H33 N2 O4  ,449.24374,345.83,1166120,449.243484,-0.256,-0.571,27,33,0,2,0,4,0
C26 H38 K N2 O2,449.256923,-1000.0,1845377,449.256486,-0.436,-0.971,26,38,1,2,0,2,0
C26 H38 N2 Na O S,449.259927,447.11,918244,449.259706,-0.221,-0.492,26,38,0,2,1,1,1
C20 H41 N4 O5 S,449.279189,394.32,1358567,449.279218,0.029,0.065,20,41,0,4,0,5,1
C28 H37 N2 O3  ,449.27995,23.17,3176238,449.279869,-0.081,-0.18,28,37,0,2,0,3,0
C21 H45 N4 O4 S,449.315608,338.61,1988745,449.315604,-0.004,-0.009,21,45,0,4,0,4,1
C29 H41 N2 O2  ,449.316307,73.17,6498099,449.316255,-0.052,-0.117,29,41,0,2,0,2,0
C24 H49 O7     ,449.347261,639.5,1195831,449.34728,0.02,0.043,24,49,0,0,0,7,0
C25 H45 N4 O3  ,449.348314,598.23,958264,449.348618,0.304,0.677,25,45,0,4,0,3,0
C30 H45 N2 O   ,449.352805,47.68,4176627,449.35264,-0.164,-0.366,30,45,0,2,0,1,0
C25 H53 O4 S   ,449.366375,213.21,2290422,449.365908,-0.467,-1.039,25,53,0,0,0,4,1
C14 H5 N Na O13 S,449.937657,-1000.0,927631,449.937381,-0.276,-0.614,14,5,0,1,1,13,1
C12 H24 N3 O13 S,450.102017,-1000.0,875431,450.102435,0.418,0.929,12,24,0,3,0,13,1
C28 H29 K N O2 ,450.183456,367.86,848123,450.182987,-0.469,-1.041,28,29,1,1,0,2,0
C23 H32 N O6 S ,450.194768,326.83,851197,450.194485,-0.282,-0.627,23,32,0,1,0,6,1
C26 H41 N3 Na O2,450.309176,-1000.0,983951,450.309098,-0.078,-0.173,26,41,0,3,1,2,0
C26 H57 N3 Na O,450.439779,461.46,901081,450.439384,-0.395,-0.877,26,57,0,3,1,1,0
C23 H7 N4 O7   ,451.031294,-1000.0,937988,451.030925,-0.369,-0.819,23,7,0,4,0,7,0
C24 H11 N4 O4 S,451.049677,-1000.0,928819,451.049552,-0.125,-0.277,24,11,0,4,0,4,1
C28 H23 N2 O4  ,451.164865,460.97,982042,451.165234,0.368,0.816,28,23,0,2,0,4,0
C23 H28 N2 Na O4 S,451.165747,209.0,1487940,451.166199,0.452,1.002,23,28,0,2,1,4,1
C24 H35 O8     ,451.233139,-1000.0,910726,451.232645,-0.495,-1.097,24,35,0,0,0,8,0
C27 H35 N2 O4  ,451.259555,-1000.0,1090601,451.259134,-0.421,-0.932,27,35,0,2,0,4,0
C26 H40 N2 Na O S,451.275066,410.32,1207340,451.275356,0.29,0.643,26,40,0,2,1,1,1
C28 H39 N2 O3  ,451.296001,77.95,4368472,451.29552,-0.481,-1.066,28,39,0,2,0,3,0
C23 H44 N2 Na O3 S,451.296077,159.09,5852208,451.296485,0.408,0.903,23,44,0,2,1,3,1
C27 H44 N2 Na O2,451.329659,500.21,948317,451.329499,-0.16,-0.354,27,44,0,2,1,2,0
C29 H43 N2 O2  ,451.332283,125.46,2926685,451.331905,-0.378,-0.838,29,43,0,2,0,2,0
C28 H48 N2 Na O,451.366356,-1000.0,911767,451.365885,-0.471,-1.043,28,48,0,2,1,1,0
C30 H47 N2 O   ,451.368296,-1000.0,1106018,451.368291,-0.005,-0.012,30,47,0,2,0,1,0
C25 H52 N2 Na O S,451.369073,353.71,901218,451.369256,0.183,0.406,25,52,0,2,1,1,1
C28 H55 N2 O2  ,451.426017,284.66,2222495,451.425805,-0.211,-0.468,28,55,0,2,0,2,0
C24 H31 N Na O4 S,452.186247,-1000.0,844292,452.1866,0.353,0.781,24,31,0,1,1,4,1
C27 H31 N3 Na O2,452.230596,-1000.0,884424,452.230848,0.252,0.557,27,31,0,3,1,2,0
C24 H51 N3 Na O3,452.381842,302.31,893152,452.382263,0.421,0.93,24,51,0,3,1,3,0
C29 H18 Na O4  ,453.109371,-1000.0,901758,453.10973,0.359,0.792,29,18,0,0,1,4,0
C21 H29 N2 O7 S,453.168548,-1000.0,863598,453.168999,0.45,0.994,21,29,0,2,0,7,1
C29 H25 O5     ,453.169993,-1000.0,898694,453.16965,-0.343,-0.756,29,25,0,0,0,5,0
C27 H37 N2 O4  ,453.274561,445.48,1096062,453.274784,0.224,0.493,27,37,0,2,0,4,0
C22 H42 N2 Na O4 S,453.275704,222.98,3800434,453.27575,0.046,0.102,22,42,0,2,1,4,1
C31 H37 N2 O   ,453.289668,454.07,885120,453.29004,0.372,0.821,31,37,0,2,0,1,0
C26 H42 N2 Na O S,453.29086,447.82,1545588,453.291006,0.146,0.322,26,42,0,2,1,1,1
C28 H41 N2 O3  ,453.311174,455.7,1527160,453.31117,-0.004,-0.009,28,41,0,2,0,3,0
C23 H46 N2 Na O3 S,453.312098,365.83,2043256,453.312135,0.037,0.081,23,46,0,2,1,3,1
C24 H50 K N2 O S,453.327215,345.28,2035066,453.327543,0.329,0.725,24,50,1,2,0,1,1
C24 H50 N2 Na O2 S,453.348347,449.1,1482110,453.348521,0.174,0.384,24,50,0,2,1,2,1
C25 H54 N2 Na O S,453.384699,413.8,914820,453.384906,0.208,0.458,25,54,0,2,1,1,1
C32 H53 O      ,453.408958,98.5,21838502,453.409093,0.134,0.296,32,53,0,0,0,1,0
C30 H61 O2     ,453.466514,-1000.0,1016494,453.466608,0.094,0.207,30,61,0,0,0,2,0
C13 H5 K N O13 S,453.91128,-1000.0,3144157,453.911318,0.038,0.083,13,5,1,1,0,13,1
C22 H9 K N O8  ,453.995786,-1000.0,849652,453.995974,0.188,0.414,22,9,1,1,0,8,0
C15 H8 N3 O14  ,453.999884,386.13,1018344,454.000078,0.194,0.428,15,8,0,3,0,14,0
C29 H21 N Na O S,454.123746,-1000.0,869125,454.123606,-0.14,-0.308,29,21,0,1,1,1,1
C22 H36 N3 O5 S,454.236832,-1000.0,912909,454.237019,0.187,0.411,22,36,0,3,0,5,1
C23 H49 K N3 O3,454.340905,425.75,1077792,454.34055,-0.355,-0.781,23,49,1,3,0,3,0
C23 H12 K O6 S ,454.999111,300.34,873099,454.998617,-0.494,-1.085,23,12,1,0,0,6,1
C28 H20 N2 Na O S,455.118935,462.03,955025,455.118855,-0.08,-0.176,28,20,0,2,1,1,1
C29 H27 O5     ,455.185716,329.46,892571,455.1853,-0.416,-0.914,29,27,0,0,0,5,0
