sum formula,Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,C,H,K,N,Na,O,S
C50 H26 N O5   ,720.180009,-1000.0,1081692,720.180549,0.541,0.751,50,26,0,1,0,5,0
C42 H87 N3 Na O4,720.659529,443.07,1533973,720.658879,-0.65,-0.902,42,87,0,3,1,4,0
C49 H46 K O S  ,721.290427,-1000.0,2101873,721.290095,-0.332,-0.46,49,46,1,0,0,1,1
C51 H54 Na O2  ,721.401429,-1000.0,1075400,721.401602,0.173,0.24,51,54,0,0,1,2,0
C48 H65 O5     ,721.482893,-1000.0,1157793,721.482652,-0.241,-0.334,48,65,0,0,0,5,0
C47 H65 N2 O4  ,721.493468,-1000.0,1048819,721.493885,0.417,0.578,47,65,0,2,0,4,0
C52 H65 O2     ,721.498051,370.33,1374431,721.497908,-0.143,-0.199,52,65,0,0,0,2,0
C44 H74 Na O4 S,721.51992,501.27,1053354,721.520003,0.083,0.115,44,74,0,0,1,4,1
C53 H69 O      ,721.534008,627.65,1310952,721.534293,0.285,0.395,53,69,0,0,0,1,0
C46 H82 K O S  ,721.571376,438.98,1426103,721.571796,0.421,0.583,46,82,1,0,0,1,1
C51 H77 O2     ,721.592111,648.63,1508028,721.591808,-0.303,-0.42,51,77,0,0,0,2,0
C47 H81 N2 O S ,721.606976,597.34,1096384,721.606413,-0.563,-0.78,47,81,0,2,0,1,1
C46 H82 Na O4  ,721.611284,563.09,1018116,721.610532,-0.752,-1.043,46,82,0,0,1,4,0
C48 H81 O4     ,721.613369,617.79,2623739,721.612938,-0.432,-0.598,48,81,0,0,0,4,0
C42 H86 N2 Na O5,721.643669,536.89,1140994,721.642895,-0.774,-1.073,42,86,0,2,1,5,0
C30 H12 N O19 S,721.971905,-1000.0,1012025,721.971875,-0.03,-0.041,30,12,0,1,0,19,1
C48 H40 N3 O2 S,722.283022,-1000.0,1075558,722.283575,0.553,0.765,48,40,0,3,0,2,1
C46 H48 N3 O3 S,722.340389,-1000.0,1070446,722.34109,0.701,0.971,46,48,0,3,0,3,1
C36 H68 N O11 S,722.451331,-1000.0,983422,722.45076,-0.572,-0.791,36,68,0,1,0,11,1
C44 H84 N O4 S ,722.611897,425.01,1195962,722.611558,-0.339,-0.47,44,84,0,1,0,4,1
C40 H84 N O9   ,722.614738,373.27,1307579,722.61406,-0.678,-0.938,40,84,0,1,0,9,0
C44 H84 N O6   ,722.629105,421.92,5372312,722.629316,0.211,0.291,44,84,0,1,0,6,0
C41 H88 N O6 S ,722.633368,67.35,13136832,722.632687,-0.681,-0.942,41,88,0,1,0,6,1
C42 H89 N3 Na O4,722.675284,446.8,1553354,722.674529,-0.755,-1.045,42,89,0,3,1,4,0
C44 H88 N3 O4  ,722.67639,438.93,1692154,722.676935,0.545,0.754,44,88,0,3,0,4,0
C48 H27 N4 O4  ,723.202797,-1000.0,1014252,723.202682,-0.115,-0.159,48,27,0,4,0,4,0
C51 H35 N2 O S ,723.246763,-1000.0,1332313,723.246461,-0.302,-0.417,51,35,0,2,0,1,1
C47 H35 N2 O6  ,723.248943,-1000.0,1526404,723.248963,0.02,0.028,47,35,0,2,0,6,0
C49 H36 N2 Na O3,723.261084,-1000.0,1111644,723.261814,0.73,1.009,49,36,0,2,1,3,0
C43 H55 N4 O6  ,723.411319,-1000.0,1000970,723.411612,0.293,0.405,43,55,0,4,0,6,0
C47 H72 K O S  ,723.492867,428.82,1354430,723.493546,0.679,0.939,47,72,1,0,0,1,1
C44 H71 N2 O4 S,723.512138,464.1,1047235,723.512906,0.769,1.062,44,71,0,2,0,4,1
C47 H72 Na O2 S,723.514534,483.92,1813188,723.514523,-0.011,-0.015,47,72,0,0,1,2,1
C36 H75 N4 O8 S,723.529844,408.64,1262752,723.530013,0.169,0.233,36,75,0,4,0,8,1
C53 H71 O      ,723.550407,458.22,1563813,723.549943,-0.463,-0.64,53,71,0,0,0,1,0
C48 H76 Na O3  ,723.568089,564.0,1246377,723.568667,0.578,0.799,48,76,0,0,1,3,0
C42 H79 N2 O5 S,723.569847,386.62,1714897,723.570421,0.575,0.794,42,79,0,2,0,5,1
C50 H75 O3     ,723.570884,-1000.0,1567265,723.571073,0.189,0.261,50,75,0,0,0,3,0
C45 H80 Na O3 S,723.571984,318.93,4864722,723.572038,0.055,0.076,45,80,0,0,1,3,1
C46 H84 K O S  ,723.587675,183.6,1825316,723.587446,-0.229,-0.316,46,84,1,0,0,1,1
C42 H84 K O6   ,723.590614,73.12,4315684,723.589948,-0.666,-0.92,42,84,1,0,0,6,0
C47 H79 O5     ,723.592366,442.27,2104022,723.592202,-0.164,-0.226,47,79,0,0,0,5,0
C43 H83 N2 O6  ,723.624225,413.34,1164471,723.624565,0.339,0.469,43,83,0,2,0,6,0
C45 H96 K O S  ,723.681047,284.42,2988780,723.681347,0.3,0.415,45,96,1,0,0,1,1
C49 H91 N2 O   ,723.712592,-1000.0,966710,723.712592,0.0,0.0,49,91,0,2,0,1,0
C27 H11 N Na O20 S,723.949003,-1000.0,1084680,723.948734,-0.27,-0.372,27,11,0,1,1,20,1
C52 H22 N O4   ,724.154698,-1000.0,1061725,724.154335,-0.364,-0.502,52,22,0,1,0,4,0
C45 H74 N O6   ,724.551449,529.98,1428412,724.551066,-0.384,-0.53,45,74,0,1,0,6,0
C49 H83 N Na O ,724.636333,-1000.0,1047505,724.636687,0.354,0.489,49,83,0,1,1,1,0
C51 H82 N O    ,724.63841,360.58,1508029,724.639093,0.683,0.942,51,82,0,1,0,1,0
C46 H87 N Na O S,724.640136,241.55,1922485,724.640058,-0.078,-0.108,46,87,0,1,1,1,1
C49 H34 Na O3 S,725.212756,201.83,1271364,725.212087,-0.669,-0.923,49,34,0,0,1,3,1
C42 H38 K O9   ,725.215454,45.49,4422747,725.214741,-0.713,-0.984,42,38,1,0,0,9,0
C43 H69 N2 O5 S,725.491773,409.49,1627785,725.492171,0.398,0.548,43,69,0,2,0,5,1
C46 H70 Na O3 S,725.493984,379.34,1555614,725.493788,-0.196,-0.27,46,70,0,0,1,3,1
C47 H74 K O S  ,725.509106,422.55,2870434,725.509196,0.09,0.124,47,74,1,0,0,1,1
C47 H74 Na O2 S,725.53018,509.2,2610835,725.530174,-0.007,-0.009,47,74,0,0,1,2,1
C36 H77 N4 O8 S,725.545438,408.33,1432746,725.545663,0.225,0.31,36,77,0,4,0,8,1
C44 H73 N2 O6  ,725.545721,460.0,1558167,725.546314,0.594,0.818,44,73,0,2,0,6,0
C48 H78 Na O S ,725.566671,440.48,1875119,725.566559,-0.112,-0.155,48,78,0,0,1,1,1
C46 H86 K O S  ,725.603168,392.76,1173157,725.603096,-0.072,-0.099,46,86,1,0,0,1,1
C45 H93 N2 O2 S,725.695177,398.67,1709756,725.695228,0.051,0.07,45,93,0,2,0,2,1
C46 H73 N Na O2 S,726.525375,615.65,1064844,726.525422,0.047,0.065,46,73,0,1,1,2,1
C48 H15 N4 O5  ,727.10336,-1000.0,968744,727.103696,0.336,0.462,48,15,0,4,0,5,0
C52 H48 K O    ,727.334345,407.13,1105994,727.333674,-0.671,-0.922,52,48,1,0,0,1,0
