Observed m/z,mSigma,Observed Intens,calc. m/z,err mDa,err ppm,sum formula,C,H,K,N,Na,O,S
453.166304,338.41,904406,453.166593,0.289,0.637,C19 H30 N2 Na O7 S,19,30,0,2,1,7,1
453.2254,401.11,915678,453.224911,-0.488,-1.077,C22 H38 K O7   ,22,38,1,0,0,7,0
453.293686,-1000.0,3949798,453.293412,-0.274,-0.604,C28 H41 N2 O S ,28,41,0,2,0,1,1
453.29789,-1000.0,945383,453.297531,-0.359,-0.793,C27 H42 Na O4  ,27,42,0,0,1,4,0
454.097966,425.88,1004878,454.097488,-0.477,-1.051,C32 H12 N3 O   ,32,12,0,3,0,1,0
454.347448,379.05,1355118,454.347944,0.496,1.093,C25 H53 K N O S,25,53,1,1,0,1,1
455.236534,-1000.0,1392096,455.236942,0.409,0.897,C34 H31 O      ,34,31,0,0,0,1,0
455.274574,418.42,1156581,455.274445,-0.129,-0.284,C27 H44 K O S  ,27,44,1,0,0,1,1
455.370712,-1000.0,920049,455.370695,-0.016,-0.036,C25 H52 Na O5  ,25,52,0,0,1,5,0
456.02851,-1000.0,924229,456.028483,-0.027,-0.059,C23 H10 N3 O6 S,23,10,0,3,0,6,1
456.141235,-1000.0,2164308,456.141662,0.427,0.937,C31 H22 N O S  ,31,22,0,1,0,1,1
456.170814,-1000.0,958040,456.170653,-0.161,-0.353,C30 H22 N3 O2  ,30,22,0,3,0,2,0
457.111814,-1000.0,895696,457.111759,-0.055,-0.121,C28 H17 N4 O S ,28,17,0,4,0,1,1
457.202491,-1000.0,943836,457.202288,-0.203,-0.445,C30 H25 N4 O   ,30,25,0,4,0,1,0
457.284174,424.37,1013478,457.284303,0.13,0.284,C22 H41 N4 O4 S,22,41,0,4,0,4,1
457.309263,526.58,882409,457.309456,0.192,0.421,C24 H45 N2 O4 S,24,45,0,2,0,4,1
457.388688,-1000.0,1251060,457.388751,0.063,0.138,C27 H53 O5     ,27,53,0,0,0,5,0
458.08215,-1000.0,919372,458.082135,-0.015,-0.033,C27 H17 N Na O3 S,27,17,0,1,1,3,1
458.260074,355.8,880483,458.260192,0.118,0.257,C24 H41 K N3 O S,24,41,1,3,0,1,1
459.307889,461.82,927720,459.308095,0.206,0.449,C26 H44 Na O5  ,26,44,0,0,1,5,0
460.02816,-1000.0,925764,460.027668,-0.491,-1.068,C18 H15 K N O11,18,15,1,1,0,11,0
460.275921,444.75,1022052,460.275842,-0.079,-0.172,C24 H43 K N3 O S,24,43,1,3,0,1,1
460.301862,440.45,870503,460.301727,-0.135,-0.294,C22 H42 N3 O7  ,22,42,0,3,0,7,0
461.158977,-1000.0,2087124,461.15948,0.503,1.09,C27 H25 O7     ,27,25,0,0,0,7,0
461.285765,538.26,1016036,461.285743,-0.023,-0.049,C22 H41 N2 O8  ,22,41,0,2,0,8,0
461.310663,541.85,999655,461.310895,0.232,0.503,C24 H45 O8     ,24,45,0,0,0,8,0
462.004464,-1000.0,897343,462.004279,-0.185,-0.401,C24 H9 N Na O6 S,24,9,0,1,1,6,1
462.12391,-1000.0,912718,462.123703,-0.207,-0.448,C31 H16 N3 O2  ,31,16,0,3,0,2,0
462.348868,449.37,919915,462.348855,-0.013,-0.027,C25 H49 N3 Na O S,25,49,0,3,1,1,1
463.209535,419.15,1178072,463.209109,-0.425,-0.918,C26 H32 Na O6  ,26,32,0,0,1,6,0
463.211189,235.35,2562520,463.211515,0.327,0.705,C28 H31 O6     ,28,31,0,0,0,6,0
463.277771,343.72,1460705,463.277761,-0.01,-0.021,C29 H39 N2 O S ,29,39,0,2,0,1,1
463.288256,596.08,920034,463.287754,-0.502,-1.084,C21 H44 Na O9  ,21,44,0,0,1,9,0
463.298429,500.34,986595,463.298891,0.461,0.996,C26 H43 N2 O3 S,26,43,0,2,0,3,1
463.326471,610.32,2775527,463.326545,0.074,0.16,C24 H47 O8     ,24,47,0,0,0,8,0
463.337369,408.24,877032,463.337045,-0.324,-0.699,C27 H52 K O S  ,27,52,1,0,0,1,1
